Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
DOGE,2/26/2021,0.05021467,0.049971754,0.052640673,0.048509847
DOGE,2/27/2021,0.050143985,0.050492099,0.052031617,0.049577762
DOGE,2/28/2021,0.048988324,0.050209997,0.050322186,0.044826547
DOGE,3/1/2021,0.050478362,0.048222842,0.051944106,0.04802373
DOGE,3/2/2021,0.050440939,0.050531256,0.052564598,0.049146989
DOGE,3/3/2021,0.0508587,0.050508209,0.052297332,0.050070887
DOGE,3/4/2021,0.050452734,0.050483773,0.051239848,0.047816364
DOGE,3/5/2021,0.049776286,0.050081845,0.051069233,0.04806487
DOGE,3/6/2021,0.051530616,0.049599056,0.052654672,0.049175283
DOGE,3/7/2021,0.051695837,0.050956657,0.051958948,0.050456683
DOGE,3/8/2021,0.059182489,0.051972888,0.060054513,0.051632825
DOGE,3/9/2021,0.0581577,0.063016712,0.063036805,0.056006034
DOGE,3/10/2021,0.056381275,0.057963106,0.058778429,0.054520732
DOGE,3/11/2021,0.055651618,0.055960914,0.056990892,0.054279598
DOGE,3/12/2021,0.055460938,0.055886426,0.057048014,0.054239573
DOGE,3/13/2021,0.057937794,0.055220432,0.060611192,0.054703485
DOGE,3/14/2021,0.059403402,0.06241478,0.063290793,0.058582146
DOGE,3/15/2021,0.056553494,0.058223779,0.059712191,0.055021895
DOGE,3/16/2021,0.058704996,0.057002863,0.059138185,0.055359752
DOGE,3/17/2021,0.058147388,0.058735884,0.059008312,0.056569288
DOGE,3/18/2021,0.057709956,0.05784259,0.059295868,0.056935273
DOGE,3/19/2021,0.058850122,0.057317314,0.060006065,0.056446757
DOGE,3/20/2021,0.060043609,0.058443679,0.06079384,0.058058328
DOGE,3/21/2021,0.058235382,0.058987158,0.059650714,0.056746115
DOGE,3/22/2021,0.055230675,0.05758569,0.058023856,0.054645101
DOGE,3/23/2021,0.05411147,0.054996043,0.056163932,0.053041087
DOGE,3/24/2021,0.052408659,0.053458859,0.056751192,0.050842907
DOGE,3/25/2021,0.051739976,0.051591476,0.052467168,0.049387082
DOGE,3/26/2021,0.053692251,0.051246988,0.053958866,0.051233545
DOGE,3/27/2021,0.054746138,0.054046294,0.055489751,0.053446905
DOGE,3/28/2021,0.053484146,0.054410747,0.05493745,0.052976286
DOGE,3/29/2021,0.054096817,0.053653405,0.054776099,0.053190319
DOGE,3/30/2021,0.054213746,0.054110302,0.055667122,0.053617672
DOGE,3/31/2021,0.053554968,0.054093549,0.054640601,0.051624287
DOGE,4/1/2021,0.059914044,0.053724731,0.071205588,0.053626903
DOGE,4/2/2021,0.057423817,0.062056575,0.062842168,0.057322969
DOGE,4/3/2021,0.056378477,0.057595789,0.059485689,0.056007389
DOGE,4/4/2021,0.057309917,0.055566788,0.058243947,0.055169694
DOGE,4/5/2021,0.05892342,0.057457984,0.059314732,0.056264542
DOGE,4/6/2021,0.063059907,0.059954915,0.065325005,0.058065967
DOGE,4/7/2021,0.060187325,0.064436052,0.067477322,0.05713969
DOGE,4/8/2021,0.06117054,0.058822404,0.062407982,0.058661152
DOGE,4/9/2021,0.061674556,0.061761187,0.064287791,0.060477359
DOGE,4/10/2021,0.063571771,0.06161707,0.065111407,0.060942528
DOGE,4/11/2021,0.075635361,0.063761394,0.080034481,0.063324808
DOGE,4/12/2021,0.071577583,0.074373903,0.075430358,0.06869098
DOGE,4/13/2021,0.092441463,0.070796023,0.094517098,0.070633235
DOGE,4/14/2021,0.127577877,0.094430068,0.145307731,0.092168066
DOGE,4/15/2021,0.172166148,0.121380367,0.191841021,0.119870139
DOGE,4/16/2021,0.379519836,0.182557862,0.450486496,0.179308342
DOGE,4/17/2021,0.305682456,0.366145814,0.381435038,0.231646176
DOGE,4/18/2021,0.331811598,0.283044708,0.351533586,0.242357807
